<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
ROSN;0;20140425;100838;224.620000000;20
ROSN;0;20140425;100839;224.520000000;230
ROSN;0;20140425;100839;224.510000000;10
ROSN;0;20140425;100839;224.510000000;60
ROSN;0;20140425;100839;224.520000000;10
ROSN;0;20140425;100839;224.510000000;40
ROSN;0;20140425;100839;224.510000000;50
ROSN;0;20140425;100839;224.620000000;100
ROSN;0;20140425;100841;224.510000000;50
ROSN;0;20140425;100841;224.500000000;50
ROSN;0;20140425;100845;224.500000000;500
ROSN;0;20140425;100845;224.500000000;640
ROSN;0;20140425;100845;224.620000000;80
ROSN;0;20140425;100845;224.620000000;100
ROSN;0;20140425;100845;224.620000000;120
ROSN;0;20140425;100845;224.620000000;10
ROSN;0;20140425;100847;224.500000000;250
ROSN;0;20140425;100853;224.500000000;350
ROSN;0;20140425;100853;224.510000000;150
ROSN;0;20140425;100853;224.500000000;200
ROSN;0;20140425;100853;224.500000000;100
ROSN;0;20140425;100854;224.500000000;200
ROSN;0;20140425;100854;224.510000000;130
ROSN;0;20140425;100855;224.500000000;40
ROSN;0;20140425;100856;224.500000000;500
ROSN;0;20140425;100856;224.510000000;130
ROSN;0;20140425;100857;224.500000000;20
ROSN;0;20140425;100858;224.500000000;2150
ROSN;0;20140425;100858;224.500000000;200
ROSN;0;20140425;100858;224.350000000;650
ROSN;0;20140425;100858;224.500000000;500
ROSN;0;20140425;100858;224.350000000;10
ROSN;0;20140425;100858;224.490000000;10
ROSN;0;20140425;100859;224.500000000;250
ROSN;0;20140425;100859;224.380000000;10
ROSN;0;20140425;100918;224.370000000;100
ROSN;0;20140425;100918;224.370000000;200
ROSN;0;20140425;100918;224.370000000;170
ROSN;0;20140425;100918;224.490000000;10
ROSN;0;20140425;100918;224.490000000;10
ROSN;0;20140425;100918;224.490000000;10
ROSN;0;20140425;100918;224.490000000;10
ROSN;0;20140425;100918;224.490000000;20
ROSN;0;20140425;100919;224.370000000;100
ROSN;0;20140425;100919;224.370000000;100
ROSN;0;20140425;100919;224.500000000;110
ROSN;0;20140425;100919;224.380000000;100
ROSN;0;20140425;100919;224.380000000;20
ROSN;0;20140425;100919;224.370000000;80
